<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AAAU,20200203,15.74,15.76,15.68,15.73,57100
AADR,20200203,53.96,54.6374,53.96,54.495,13500
AAMC,20200203,13.51,13.51,13.51,13.51,300
AAU,20200203,0.49,0.504,0.47,0.4701,843100
ABEQ,20200203,24.6258,24.65,24.58,24.5926,24400
ACES,20200203,36.67,37.435,36.67,37.42,25100
ACIO,20200203,25.18,25.18,25.0594,25.0594,2600
ACSG,20200203,27.49,27.49,27.3639,27.3639,500
ACSI,20200203,36.01,36.17,35.8815,35.8815,800
ACU,20200203,24.1,24.28,23.72,23.78,13900
ACWF,20200203,30.66,30.84,30.6294,30.67,10900
ACWV,20200203,97.4,97.77,97.37,97.44,529300
ACY,20200203,4.4,4.4,4.4,4.4,700
ADME,20200203,30.65,30.7368,30.65,30.65,3900
AE,20200203,34.98,36.5,34.8,35.7,7000
AEF,20200203,7.39,7.47,7.39,7.44,27300
AESR,20200203,10.19,10.19,10.1433,10.1502,1600
AFIF,20200203,9.75,9.75,9.74,9.7445,7000
AFK,20200203,19.22,19.2881,19.15,19.1746,11500
AFLG,20200203,20.4649,20.4649,20.4649,20.4649,100
AFMC,20200203,20.1116,20.1116,20.1116,20.1116,0
AFSM,20200203,19.8407,19.8407,19.8407,19.8407,0
AFTY,20200203,15.24,15.46,15.24,15.32,8700
AGE,20200203,1.4,1.4,1.22,1.31,138600
AGG,20200203,114.2,114.41,114.0848,114.37,7214200
AGGE,20200203,19.64,19.645,19.62,19.645,4400
AGGP,20200203,19.88,19.8921,19.87,19.89,8400
AGGY,20200203,53.21,53.26,53.11,53.26,93200
AGQ,20200203,31.08,31.11,30.39,30.62,377000
AGT,20200203,22.3218,22.4325,22.28,22.4325,1900
AGZ,20200203,117.18,117.26,117.1,117.2212,13700
AIEQ,20200203,28.76,29.0567,28.76,28.88,29000
AIIQ,20200203,26.6479,26.6499,26.6479,26.6499,900
AIM,20200203,1,1.2529,0.99,1.25,6344000
AINC,20200203,24.3,24.9435,24,24.65,6200
AIRI,20200203,1.59,1.627,1.56,1.57,145100
AKG,20200203,0.9385,0.94,0.92,0.9269,162000
ALFA,20200203,58.71,59.8689,58.71,59.7711,7400
ALO,20200203,0.7559,0.7559,0.7361,0.7478,23200
ALTS,20200203,37.92,37.92,37.7979,37.7979,400
AMBO,20200203,1.76,2.29,1.76,2.019,7200
AMJ,20200203,20.65,20.71,20.425,20.48,3880200
AMJL,20200203,9.39,9.39,9,9.12,22100
AMLP,20200203,8.01,8.0701,7.95,7.96,19093800
AMOM,20200203,26.61,26.6357,26.61,26.6357,100
AMPE,20200203,0.75,0.765,0.685,0.701,1076000
AMS,20200203,2.43,2.57,2.43,2.51,9700
AMU,20200203,12.92,13.0055,12.85,12.865,83700
AMUB,20200203,12.97,12.97,12.875,12.875,9700
AMZA,20200203,4.02,4.04,3.96,3.97,826700
ANVS,20200203,7.15,7.7,6.7,7.25,341000
AOA,20200203,57.43,57.85,57.43,57.63,73300
AOIL,20200203,22.38,22.38,21.68,21.68,2200
AOK,20200203,36.53,36.58,36.5005,36.51,88400
AOM,20200203,40.27,40.41,40.27,40.29,94800
AOR,20200203,47.66,47.9,47.66,47.73,243600
APT,20200203,6.8,7.14,5.52,5.91,3585600
ARCM,20200203,100.05,100.05,100.05,100.05,0
ARGT,20200203,25.56,26.33,25.56,26.18,45700
ARKF,20200203,25.4,25.76,25.4,25.69,57500
ARKG,20200203,32.99,33.19,32.7889,33.18,144400
