StockTickers,CompanyName
AAAU,"{'symbol': 'AAAU', 'name': 'PERTH MINT PHYSICAL GOLD ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '14924'}"
AADR,"{'symbol': 'AADR', 'name': 'ADVISORSHARES DORSEY WRIGHT', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '5'}"
AAMC,"{'symbol': 'AAMC', 'name': 'ALTISOURCE ASSET MANAGEMENT', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '7760'}"
AAU,"{'symbol': 'AAAU', 'name': 'PERTH MINT PHYSICAL GOLD ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '14924'}"
ABEQ,"{'symbol': 'ABEQ', 'name': 'ABSOLUTE CORE STRATEGY ETF', 'date': '2020-02-03', 'isEnabled': False, 'type': 'N/A', 'iexId': '16476'}"
ACES,"{'symbol': 'ACES', 'name': 'ALPS CLEAN ENERGY ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '14783'}"
ACIO,"{'symbol': 'ACIO', 'name': 'APTUS COLLARED INC OPP ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '15915'}"
ACSG,"{'symbol': 'ACSG', 'name': 'XTRACKERS MSCI ACWI EX USA E', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '15284'}"
ACSI,"{'symbol': 'ACSI', 'name': 'AMERICAN CUSTOMER SATISFACTI', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '12028'}"
ACU,"{'symbol': 'ACU', 'name': 'ACME UNITED CORP', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '76'}"
ACWF,"{'symbol': 'ACWF', 'name': 'ISHARES EDGE MSCI MULTIFACTO', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '9946'}"
ACWV,"{'symbol': 'ACWV', 'name': 'ISHARES EDGE MSCI MIN VOL GL', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '80'}"
ACY,"{'symbol': 'ACY', 'name': 'AEROCENTURY CORP', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '83'}"
ADME,"{'symbol': 'ADME', 'name': 'APTUS DRAWDOWN MANAGED EQUIT', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '11447'}"
AE,"{'symbol': 'ACM', 'name': 'AECOM', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '61'}"
AEF,"{'symbol': 'AEF', 'name': 'ABERDEEN EM MRKT EQTY INC', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '1193'}"
AESR,"{'symbol': 'AESR', 'name': 'ANFIELD US EQUITY SECTOR ROT', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '16384'}"
AFIF,"{'symbol': 'AFIF', 'name': 'ANFIELD UNIVERSAL FIXED INCO', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '15025'}"
AFK,"{'symbol': 'AFK', 'name': 'VANECK AFRICA INDEX', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '143'}"
AFLG,"{'symbol': 'AFLG', 'name': 'FIRST TRUST ACTIVE FACTOR LA', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '16345'}"
AFMC,"{'symbol': 'AFMC', 'name': 'FIRST TRUST ACTIVE FACTOR MI', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '16346'}"
AFSM,"{'symbol': 'AFSM', 'name': 'FIRST TRUST ACTIVE FACTOR SM', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '16347'}"
AFTY,"{'symbol': 'AFTY', 'name': 'PACER CSOP FTSE CHINA A50 ET', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '9810'}"
AGE,"{'symbol': 'AAMC', 'name': 'ALTISOURCE ASSET MANAGEMENT', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '7760'}"
AGG,"{'symbol': 'AGG', 'name': 'ISHARES CORE U.S. AGGREGATE', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '162'}"
AGGE,"{'symbol': 'AGGE', 'name': 'IQ ENHANCED CORE BOND US ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '11327'}"
AGGP,"{'symbol': 'AGGP', 'name': 'IQ ENHANCED CORE PLUS BOND U', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '11328'}"
AGGY,"{'symbol': 'AGGY', 'name': 'WISDOMTREE YIELD ENHANCED US', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '10278'}"
AGQ,"{'symbol': 'AGQ', 'name': 'PROSHARES ULTRA SILVER', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '179'}"
AGT,"{'symbol': 'AGT', 'name': 'ISHARES ARGENTINA', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '12812'}"
AGZ,"{'symbol': 'AGZ', 'name': 'ISHARES AGENCY BOND ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '184'}"
AIEQ,"{'symbol': 'AIEQ', 'name': 'AI POWERED EQUITY ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '13582'}"
AIIQ,"{'symbol': 'AIIQ', 'name': 'AI POWERED INTERNATIONAL EQU', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '14714'}"
AIM,"{'symbol': 'AIM', 'name': 'AIM IMMUNOTECH INC', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '3156'}"
AINC,"{'symbol': 'AINC', 'name': 'ASHFORD INC', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '9471'}"
AIRI,"{'symbol': 'AIRI', 'name': 'AIR INDUSTRIES GROUP', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '208'}"
AKG,"{'symbol': 'AKG', 'name': 'ASANKO GOLD INC', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '221'}"
ALFA,"{'symbol': 'ALFA', 'name': 'ALPHACLONE ALTERNATIVE ALPHA', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '236'}"
ALO,"{'symbol': 'ADI', 'name': 'ANALOG DEVICES INC', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '93'}"
ALTS,"{'symbol': 'ALTS', 'name': 'PRSHR MRNGSTR ALT SOL ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '9353'}"
AMBO,"{'symbol': 'AMBO', 'name': 'AMBOW EDUCATION HOLDING-ADR', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '280'}"
AMJ,"{'symbol': 'AMJ', 'name': 'JPMORGAN ALERIAN MLP INDEX', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '295'}"
AMJL,"{'symbol': 'AMJL', 'name': 'X-LINKS 2XLEVRG ALERIAN MLP', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '11385'}"
AMLP,"{'symbol': 'AMLP', 'name': 'ALERIAN MLP ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '297'}"
AMOM,"{'symbol': 'AMOM', 'name': 'QRAFT AI-ENH US LRG CAP MTM', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '15741'}"
AMPE,"{'symbol': 'AMPE', 'name': 'AMPIO PHARMACEUTICALS INC', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '303'}"
AMS,"{'symbol': 'ADX', 'name': 'ADAMS DIVERSIFIED EQUITY', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '109'}"
AMU,"{'symbol': 'ACAMU', 'name': 'ACAMAR PARTNERS ACQUISITION', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '15369'}"
AMUB,"{'symbol': 'AMUB', 'name': 'ETRACS ALERIAN MLP IND SER B', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '10675'}"
AMZA,"{'symbol': 'AMZA', 'name': 'INFRACAP MLP ETF', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '9338'}"
ANVS,"{'symbol': 'ANVS', 'name': 'ANNOVIS BIO', 'date': '2020-02-03', 'isEnabled': True, 'type': 'N/A', 'iexId': '15905'}"
