ticker	date	<open>	<high>	<low>	<close>	vol
A	20200131	84.03	84.335	82.34	82.56	2850400
AA	20200131	14.01	14.24	13.62	13.95	9964100
AAN	20200131	62.93	62.94	59.32	59.36	907300
AAP	20200131	134.34	134.59	131.5041	131.75	1280600
AAT	20200131	46.39	46.7	45.34	45.56	442500
AB	20200131	33.47	33.47	32.7	32.75	185800
ABB	20200131	23.45	23.45	23.08	23.17	1859400
ABBV	20200131	81.54	81.72	80.4099	81.02	13870100
ABC	20200131	89.29	89.29	85.27	85.56	1217700
ABEV	20200131	4.2	4.23	4.13	4.16	11719800
ABG	20200131	99.21	99.62	96.09	96.45	212700
ABM	20200131	38.64	38.9	37.96	38.14	1083200
ABR	20200131	15.14	15.14	14.71	14.77	2456500
ABR-A	20200131	26.45	26.5	26.45	26.5	500
ABR-B	20200131	26.09	26.2	26.01	26.01	3200
ABR-C	20200131	26.6137	26.6499	26.6	26.6	2100
ABT	20200131	89.13	89.23	86.9	87.14	5914100
AC	20200131	42.3	42.73	41.19	41.77	20300
ACA	20200131	44.47	44.99	43.69	43.75	387800
ACB	20200131	1.95	1.96	1.87	1.89	13303600
ACC	20200131	46.23	46.32	45.69	45.87	1261800
ACCO	20200131	8.97	9.06	8.615	8.64	455300
ACEL	20200131	12.55	12.72	12.21	12.25	84000
ACH	20200131	7.38	7.4275	7.27	7.35	36700
ACM	20200131	49	49.29	48.09	48.23	2742400
ACN	20200131	208.5	209.6275	204	205.21	1793500
ACP	20200131	11.68	11.7	11.61	11.62	110200
ACRE	20200131	16.47	16.53	16.33	16.34	610400
ACV	20200131	25.4	25.45	25.14	25.22	29700
ADC	20200131	75.89	76.27	75.5	75.93	437000
ADM	20200131	45.48	45.62	44.55	44.76	8398200
ADNT	20200131	23.86	25.85	23.5	25.71	10069100
ADS	20200131	106.59	106.59	102.5	102.79	1725700
ADSW	20200131	32.98	32.99	32.95	32.95	437400
ADT	20200131	6.3	6.4	6.17	6.2	1116600
ADX	20200131	16.05	16.06	15.84	15.86	200900
AEB	20200131	24.94	24.9866	24.86	24.91	28500
AEE	20200131	81.81	82.41	81.61	82.05	2038400
AEFC	20200131	25.84	26.0207	25.76	25.82	566700
AEG	20200131	4.06	4.065	4.01	4.01	1606400
AEL	20200131	26.93	26.95	26.27	26.41	339200
AEL-A	20200131	26.55	26.55	26.22	26.26	314000
AEM	20200131	61.15	62.16	61.15	61.82	984300
AEO	20200131	14.84	14.84	14.29	14.4	4813600
AEP	20200131	104	104.43	103.61	104.22	2457800
AEP-B	20200131	58.1	58.17	57.9347	58	15500
AER	20200131	58.14	58.14	56.35	56.61	860500
AES	20200131	20.06	20.18	19.79	19.86	3644200
AFB	20200131	14.14	14.15	14.1124	14.13	56000
AFC	20200131	26.51	26.72	26.503	26.72	18800
AFG	20200131	110.27	110.38	108.72	108.79	374600
AFGB	20200131	27.7	27.73	27.64	27.73	14800
AFGC	20200131	26.48	26.5	26.33	26.33	36200
AFGH	20200131	25.94	26.09	25.94	26.09	24400
AFI	20200131	3.54	3.55	3.42	3.54	129200
AFL	20200131	52.72	52.8022	51.5215	51.57	4313300
AFT	20200131	15.46	15.46	15.37	15.39	107900
AG	20200131	10	10.18	9.97	10.07	3058700
AGCO	20200131	70.53	71.07	69.73	70.14	617100
AGD	20200131	10.41	10.4611	10.22	10.22	40500
AGI	20200131	6.27	6.4	6.26	6.3	3990100
AGM	20200131	76.96	76.96	75.85	76.3	40400
AGM-A	20200131	25.95	25.95	25.95	25.95	200
AGM-C	20200131	26.89	26.92	26.8	26.8	1800
AGM-D	20200131	26.6	26.8	26.5	26.8	10900
AGM.A	20200131	67.69	67.69	67.69	67.69	100
AGN	20200131	187.22	187.55	186.5	186.64	1808600
AGO	20200131	46.69	46.92	45.82	45.84	365000
AGO-B	20200131	27.52	27.62	27.31	27.58	3500
AGO-E	20200131	26.46	26.7	26.44	26.62	7400
AGO-F	20200131	26.02	26.15	25.98	26.15	4100
AGR	20200131	53.75	53.85	52.99	53.26	607100
AGRO	20200131	7.54	7.61	7.42	7.47	140500
AGS	20200131	9.95	10.3	9.79	10.28	316400
AGX	20200131	43.28	43.28	41.66	42.11	156300
AHC	20200131	2.94	3	2.9101	2.92	9800
AHH	20200131	18.56	18.64	18.24	18.34	281400
AHH-A	20200131	27.4	27.4	27.4	27.4	200
AHL-C	20200131	28.6	28.6776	28.39	28.39	33400
AHL-D	20200131	26.85	26.975	26.75	26.75	17900
AHL-E	20200131	26.42	26.47	26.33	26.34	21600
AHT	20200131	2.48	2.51	2.46	2.46	690300
AHT-D	20200131	25.6	25.71	25.51	25.51	3300
AHT-F	20200131	22.57	22.57	22.39	22.5	12000
AHT-G	20200131	21.95	22.07	21.83	22.07	16400
AHT-H	20200131	22.52	22.57	22.5139	22.55	6400
AHT-I	20200131	22.11	22.375	22.11	22.37	16300
AI	20200131	5.71	5.72	5.65	5.68	352100
AI-B	20200131	21.49	21.49	21.4899	21.4899	200
AI-C	20200131	22.38	22.5	22.17	22.46	3200
AIC	20200131	24.45	24.45	24.27	24.27	4000
AIF	20200131	15.55	15.55	15.49	15.53	34400
AIG	20200131	50.75	51.15	49.94	50.26	5736200
AIG-A	20200131	27.45	27.63	27.42	27.43	64000
AIG.W	20200131	9.56	9.85	8.9	9.09	245800
AIN	20200131	72.22	72.27	69.3957	69.77	166500
AIO	20200131	20.09	20.1116	19.71	19.71	74300
AIR	20200131	43.58	43.58	42.35	42.58	141500
AIT	20200131	65.6	65.95	64.33	64.57	302200
AIV	20200131	53.04	53.61	52.43	52.71	1464600
AIW	20200131	24.6999	24.6999	24.55	24.55	4000
AIZ	20200131	130.95	132.8	130.0503	130.56	383400
AIZP	20200131	128.08	129.77	128.08	128.5	1800
AJG	20200131	103	105.67	102.27	102.57	1874400
AJRD	20200131	52.75	53.02	51.89	52.07	339800
AJX	20200131	15.06	15.11	15.01	15.09	126800
AJXA	20200131	27.08	27.17	27.01	27.1	42100
AKO.A	20200131	13.61	13.61	13.33	13.33	500
AKO.B	20200131	16.06	16.14	15.49	15.51	6600
AKR	20200131	24.79	24.9	24.575	24.82	545100
AKS	20200131	2.77	2.82	2.7	2.76	6403400
AL	20200131	43.81	44.05	42.89	42.94	776700
AL-A	20200131	28	28.42	27.8	27.87	11800
ALB	20200131	79.8	80.36	78.72	80.28	5675900
ALC	20200131	59.59	59.6451	58.79	58.94	601300
ALE	20200131	83.93	84.17	83.19	83.48	273000
ALEX	20200131	21.96	22.08	21.75	21.86	359900
ALG	20200131	125.62	126.65	124.27	124.56	57000
ALK	20200131	65.61	65.62	64.17	64.59	1581600
ALL	20200131	119.21	120.11	118.27	118.54	1754400
ALL-B	20200131	27.6	27.71	27.45	27.46	42800
ALL-G	20200131	27.56	27.655	27.52	27.52	55300
ALL-H	20200131	26.28	26.37	26.22	26.37	179200
ALL-I	20200131	25.99	26.09	25.95	26.09	69000
ALL-Y	20200131	26.57	26.67	26.57	26.65	131000
ALLE	20200131	130.47	131.28	128.7	129.32	607300
ALLY	20200131	32.2	32.325	31.85	32.03	3968500
ALP-Q	20200131	27.75	27.94	27.64	27.69	14500
ALSN	20200131	45.3	45.51	43.91	44.2	1058100
ALU.U	20200131	10.3	10.3	10.23	10.23	50000
ALUS	20200131	9.9	9.94	9.9	9.94	136400
ALV	20200131	77.44	77.48	76.4	76.63	629000
ALX	20200131	331.9	331.9	318.84	322.68	6100
AM	20200131	5.1	5.2	4.92	5.04	10978600
AMC	20200131	6.81	6.87	6.5	6.52	1883200
AMCR	20200131	10.65	10.68	10.43	10.59	49978600
AME	20200131	98.65	98.65	96.54	97.15	1285700
AMG	20200131	79.45	80.4	78.73	79.85	993600
AMH	20200131	27.69	27.82	27.26	27.33	1458800
AMH-D	20200131	26.77	26.77	26.44	26.44	14200
AMH-E	20200131	26.78	26.795	26.57	26.68	135000
AMH-F	20200131	26.6	26.89	26.5	26.89	9700
AMH-G	20200131	26.39	26.4456	26.2	26.38	12300
AMH-H	20200131	27.42	27.4628	27.3796	27.45	12200
AMK	20200131	30.03	30.24	28.9	29.33	72900
AMN	20200131	67.46	67.86	67.15	67.38	420600
AMOV	20200131	16.89	16.89	16.5	16.54	13400
AMP	20200131	168.96	168.96	164.72	165.41	932800
AMPY	20200131	5.56	5.56	5.327	5.39	186800
AMRC	20200131	19.39	19.48	19.12	19.19	85700
AMRX	20200131	4.6	4.62	4.42	4.49	963400
AMT	20200131	234.36	234.94	230.85	231.74	1701100
AMX	20200131	17.12	17.12	16.64	16.68	5939400
AN	20200131	43.89	43.89	42.34	42.44	900400
ANET	20200131	230.54	230.54	222.84	223.34	1001100
ANF	20200131	16.63	17.15	16.15	16.36	3047400
ANH	20200131	3.61	3.62	3.57	3.58	670600
ANH-A	20200131	26.0167	26.0167	25.97	25.97	600
ANH-B	20200131	22.68	22.78	22.68	22.78	9900
ANH-C	20200131	25.4391	25.4594	25.4	25.4594	2400
ANTM	20200131	265.68	268.555	264.01	265.28	2206900
AOD	20200131	8.92	8.92	8.74	8.76	486700
AON	20200131	223.76	227.71	219.76	220.25	1383500
AOS	20200131	43.42	43.72	42.58	42.69	2789200
AP	20200131	2.85	2.94	2.84	2.9	9000
APA	20200131	27.58	27.67	26.95	27.44	5312400
APAM	20200131	33.82	34.09	33.26	33.4	348700
APD	20200131	240.34	240.65	237.81	238.71	1596400
APH	20200131	101.39	101.77	98.95	99.47	1553700
APHA	20200131	4.79	4.799	4.62	4.66	5307500
APLE	20200131	15.24	15.28	15.01	15.02	2682800
APO	20200131	46	48.01	45.28	47.32	4165500
APO-A	20200131	26.89	26.98	26.83	26.98	42400
APO-B	20200131	27.35	27.39	27.18	27.19	15400
APRN	20200131	4.1	4.2	3.74	3.86	630600
APTS	20200131	12	12.02	11.6	11.78	912100
APTV	20200131	86.74	87.065	84.59	84.79	1617700
APY	20200131	26.04	26.25	25.63	25.86	263000
AQN	20200131	15.35	15.5	15.25	15.31	642300
AQNA	20200131	28.56	28.63	28.41	28.42	22500
AQNB	20200131	28.85	29.0057	28.78	28.99	31000
AQUA	20200131	20.13	20.18	19.71	19.97	979000
AR	20200131	1.7	1.94	1.68	1.85	13925400
ARA	20200131	9.31	9.35	8.83	9.08	64900
ARC	20200131	1.28	1.31	1.26	1.28	55800
ARCH	20200131	53.44	54	51.1	51.53	401300
ARCO	20200131	7.69	7.72	7.65	7.67	245800
ARD	20200131	19.65	19.69	19.03	19.08	75200
ARDC	20200131	15.63	15.657	15.54	15.58	60100
ARE	20200131	164.04	164.7	162.54	163.2	560100
ARE-A	20200131	27.0261	27.065	26.92	26.92	27400
ARES	20200131	36.35	36.66	35.04	36.06	594300
ARGD	20200131	25.9651	26.22	25.9651	26.15	20000
ARGO	20200131	66.06	67.11	65.56	65.6	168600
ARI	20200131	18.36	18.43	18.23	18.28	1063400
ARL	20200131	15.2	15.2	14.7	14.7	1300
ARLO	20200131	4.42	4.45	4.11	4.27	675700
ARMK	20200131	45.27	45.4	44.11	44.14	2042900
ARNC	20200131	30.3	30.39	29.855	29.95	2877300
AROC	20200131	8.44	8.525	8.3	8.35	906700
ARR	20200131	19.26	19.37	19.1801	19.26	769500
ARR-B	20200131	25.13	25.15	25.12	25.15	135100
ARR-C	20200131	25.19	25.19	25.1	25.1	238900
ARW	20200131	78.2	78.88	75.52	75.94	597300
ASA	20200131	13.91	14.005	13.8896	13.97	49300
ASB	20200131	20.22	20.28	19.87	19.93	1411900
ASB-C	20200131	25.88	25.88	25.6601	25.6601	2100
ASB-D	20200131	25.88	26.07	25.88	26.07	5500
ASB-E	20200131	27.04	27.1	27.02	27.1	5000
ASC	20200131	6.37	6.4499	6.13	6.15	539000
ASG	20200131	7	7	6.86	6.99	512600
ASGN	20200131	69.38	69.71	67.64	67.69	311500
ASH	20200131	75.46	75.77	73.08	73.98	841100
ASIX	20200131	18.89	18.99	18.47	18.72	298800
ASPN	20200131	8.28	8.4299	7.78	8.27	118100
ASR	20200131	194.22	195.21	191.22	192.79	20600
ASX	20200131	4.83	4.83	4.71	4.74	474500
AT	20200131	2.41	2.42	2.39	2.39	347600
ATEN	20200131	6.9	6.93	6.76	6.81	172000
ATGE	20200131	35.16	35.25	33.98	34.51	405800
ATH	20200131	44.14	44.31	43.42	43.56	1450300
ATH-A	20200131	28.86	28.89	28.6	28.6	76900
ATH-B	20200131	26.11	26.164	26.02	26.02	46500
ATHM	20200131	79.22	79.45	76.205	76.48	702800
ATI	20200131	17.5	17.69	17.13	17.25	1273500
ATKR	20200131	40.72	41.08	39.42	39.7	506200
ATO	20200131	116.97	117.73	115.82	117.03	3787700
ATR	20200131	115.91	116.39	115.14	115.51	300700
ATTO	20200131	2.7	2.72	2.65	2.65	65000
ATUS	20200131	27.35	28.04	27.26	27.36	6740300
ATV	20200131	18.27	18.27	18.09	18.17	2100
AU	20200131	20.25	20.635	20.17	20.36	3540600
AUY	20200131	3.94	4.13	3.92	4.07	30905600
AVA	20200131	50.59	50.91	50.48	50.85	340600
AVAL	20200131	8.42	8.45	8.35	8.45	117000
AVB	20200131	217.94	219.13	216.04	216.69	609600
AVD	20200131	18.5	18.73	18.18	18.68	99300
AVH	20200131	4.74	4.82	4.69	4.75	87300
AVK	20200131	15.49	15.5	15.45	15.46	140200
AVLR	20200131	86.94	87.03	84.086	85.14	516900
AVNS	20200131	27.96	28.11	27.48	27.54	422000
AVT-A	20200131	63.56	63.76	63.03	63.76	50300
AVTR	20200131	18.44	18.63	18.3	18.47	2017900
AVX	20200131	20.41	20.48	20.2	20.27	339200
AVY	20200131	135.02	135.02	130.66	131.24	690600
AVYA	20200131	13.14	13.14	12.595	12.77	3313600
AWF	20200131	12.38	12.4	12.342	12.35	206300
AWI	20200131	101.41	101.72	99.38	100.33	318000
AWK	20200131	136.91	137.73	135.44	136.2	1300600
AWP	20200131	6.65	6.665	6.57	6.58	385100
AWR	20200131	90.5	91.2	88.1958	88.56	415000
AX	20200131	28.25	28.36	28.015	28.17	416700
AXE	20200131	98.52	98.57	97.5	97.6	1200700
AXL	20200131	9.28	9.35	9.045	9.24	1265100
AXO	20200131	26.05	26.08	25.88	26	1300
AXP	20200131	132.17	132.2526	129.38	129.87	3522700
AXR	20200131	5.95	6.1	5.81	6.0973	6700
AXS	20200131	65.62	65.785	64.24	64.25	685700
AXS-E	20200131	26.2	26.2436	26.09	26.09	42000
AXTA	20200131	28.44	28.89	27.85	28.81	3716000
AYI	20200131	121	121.29	117.705	117.87	364600
AYR	20200131	32.08	32.12	32.08	32.09	515500
AYX	20200131	143.44	144.5	138	139.47	1927600
AZN	20200131	49.18	49.18	48.47	48.7	4129300
AZO	20200131	1080.92	1094.53	1056.11	1057.96	311000
AZRE	20200131	12.23	12.36	11.94	12.28	41900
AZUL	20200131	41.16	41.68	40.88	41.5	422300
AZZ	20200131	42.47	42.5	40.815	41.26	127300
B	20200131	65.01	65.055	62.83	63.17	137400
BA	20200131	321.75	321.93	316.99	318.27	4999600
BABA	20200131	206.5	207.93	204.7282	206.59	18181400
BAC	20200131	33.07	33.17	32.65	32.83	54845200
BAC-A	20200131	26.42	26.47	26.23	26.36	295300
BAC-B	20200131	27.82	27.93	27.72	27.75	610400
BAC-C	20200131	26.16	26.28	26.08	26.17	367300
BAC-E	20200131	24.75	24.77	24.5	24.74	103500
BAC-K	20200131	27.44	27.64	27.44	27.53	363100
BAC-L	20200131	1556.96	1572.7	1545.41	1572.7	23300
BAC-M	20200131	26.73	26.78	26.72	26.75	380600
BAC-N	20200131	26.11	26.26	26.05	26.2	494600
BAF	20200131	14.7	14.7	14.61	14.625	12700
BAH	20200131	78.85	82	77.86	78.04	1915600
BAK	20200131	15.13	15.14	14.68	14.7	147200
BAM	20200131	61.68	61.78	60.9	61.21	939300
BAN-D	20200131	25.69	25.71	25.66	25.71	6900
BAN-E	20200131	26.51	26.7021	26.51	26.62	7700
BANC	20200131	16.21	16.29	15.86	15.96	378100
BAP	20200131	208.9	209.17	205.16	206.58	328900
BAX	20200131	90.28	90.32	89.05	89.22	1796600
BB	20200131	6.21	6.255	6.06	6.1	3795300
BBAR	20200131	4.64	4.74	4.43	4.68	785400
BBD	20200131	7.68	7.7	7.56	7.63	12402400
BBDC	20200131	10.4	10.4	10.2797	10.3	199700
BBDO	20200131	7.25	7.25	7.2	7.2	500
BBF	20200131	14.06	14.07	14.02	14.03	10100
BBK	20200131	15.97	16	15.959	15.98	10300
BBL	20200131	43.81	44	43.315	43.43	2045500
BBN	20200131	25.52	25.5702	25.44	25.56	117800
BBU	20200131	42.15	42.21	42.03	42.05	13300
BBVA	20200131	5.16	5.17	5.085	5.12	4424700
BBW	20200131	4.39	4.6199	4.17	4.18	106000
BBX	20200131	3.86	3.91	3.86	3.88	233300
BBY	20200131	86.69	86.96	84.53	84.69	2841900
BC	20200131	63.03	64.89	62.39	62.85	1291200
BC-A	20200131	27.14	27.28	27.1	27.28	22400
BC-B	20200131	27.43	27.54	27.2437	27.54	23600
BC-C	20200131	26.98	27.2002	26.95	27.05	24900
BCC	20200131	36.42	36.57	35.34	36.2	230100
BCE	20200131	47.51	47.51	46.96	47.12	832300
BCEI	20200131	18.21	18.25	17.68	18.19	215400
BCH	20200131	19.42	19.9	19.4	19.9	118400
BCO	20200131	85.99	86.34	83.82	84.19	429000
BCRH	20200131	7	7.09	6.98	6.98	30100
BCS	20200131	8.86	8.87	8.77	8.8	2346000
BCSF	20200131	19.81	19.9	19.75	19.8	172100
BCX	20200131	7.67	7.67	7.45	7.51	437900
BDC	20200131	49.72	50.1	49.04	49.27	358300
BDJ	20200131	9.53	9.54	9.4	9.4	766700
BDN	20200131	15.6	15.66	15.49	15.62	3593500
BDX	20200131	279.54	280.9772	274.49	275.18	1736400
BDXA	20200131	66.63	67.28	65.33	65.55	109600
BE	20200131	8.2	8.27	7.57	7.88	3116800
BEDU	20200131	8.68	8.69	8.51	8.58	28600
BEN	20200131	26	26.14	25.1849	25.3	14991900
BEP	20200131	47.8	48.83	47.78	48.74	319100
BERY	20200131	45.59	45.59	42.28	42.52	4452800
BEST	20200131	5.67	5.74	5.3	5.31	1432900
BF.A	20200131	65.18	65.28	63.97	64.27	17000
BF.B	20200131	68.62	68.79	67.45	67.64	1498700
BFAM	20200131	164.32	165.13	163.36	163.73	195900
BFK	20200131	14.58	14.6	14.56	14.6	44100
BFO	20200131	14.47	14.47	14.47	14.47	100
BFS	20200131	50.85	51.055	49.14	49.38	83600
BFS-E	20200131	26.12	26.4	26.07	26.4	5300
BFY	20200131	14.99	15.03	14.955	14.955	3700
BFZ	20200131	14.21	14.24	14.2	14.23	42100
BG	20200131	52.24	52.43	51.815	52.43	978000
BGB	20200131	14.82	14.8336	14.66	14.66	119500
BGG	20200131	3.98	4.08	3.67	3.67	2783600
BGH	20200131	17.7	17.73	17.55	17.62	99500
BGIO	20200131	9.73	9.81	9.7069	9.75	49400
BGR	20200131	11.7	11.7	11.21	11.26	656400
BGS	20200131	16.13	16.34	16.04	16.06	789800
BGSF	20200131	20.44	20.6773	20.11	20.12	43600
BGT	20200131	13.14	13.15	13.09	13.11	46400
BGX	20200131	16.19	16.19	15.95	15.97	40800
BGY	20200131	5.87	5.88	5.75	5.75	386800
BH	20200131	111.99	113.42	106.48	108.48	14600
BH.A	20200131	620.82	637.8	610.51	629.5	100
BHC	20200131	28.2	28.2	27.4	27.43	4708200
BHE	20200131	32.17	32.36	30.71	30.78	512100
BHK	20200131	15.15	15.1897	15.11	15.11	157800
BHLB	20200131	28.79	28.86	28.04	28.15	242600
BHP	20200131	52.06	52.06	51.01	51.11	3706400
BHR	20200131	8.01	8.08	7.87	7.98	216900
BHR-B	20200131	18.2	18.2	18.02	18.2	18600
BHR-D	20200131	27.68	27.68	27.2	27.2	4700
BHV	20200131	16.55	16.55	16.55	16.55	100
BHVN	20200131	48.7	48.82	46.7	48.49	1839400
BIF	20200131	11.67	11.69	11.42	11.42	349700
BIG	20200131	27.65	27.65	26.82	27.06	1046600
BILL	20200131	48.31	50.98	48.15	50.32	411100
BIO	20200131	366.37	366.37	358.675	360.92	245900
BIO.B	20200131	375.44	375.44	375.44	375.44	100
BIP	20200131	54.5	54.5605	54.15	54.4	178800
BIT	20200131	16.32	16.37	16.19	16.19	123700
BITA	20200131	14.9	15.2	14.78	15.1	424300
BJ	20200131	21.08	21.18	20.39	20.52	1277300
BK	20200131	45.04	45.19	44.34	44.78	6765700
BK-C	20200131	26.215	26.2345	26.01	26.02	32700
BKD	20200131	6.74	6.83	6.57	6.59	1068000
BKE	20200131	25.33	25.33	24.3	24.41	380200
BKH	20200131	83.46	83.86	82.92	83.03	538700
BKI	20200131	67.59	68.04	66.54	66.92	1156900
BKK	20200131	14.93	14.9498	14.93	14.93	33800
BKN	20200131	15.97	16	15.945	15.98	32800
BKR	20200131	21.73	21.81	21.38	21.66	5341300
BKT	20200131	6.12	6.12	6.08	6.09	156000
BKU	20200131	33.23	33.67	32.99	33	725000
BLD	20200131	117.77	118.58	114.26	114.51	273300
BLE	20200131	15.92	15.92	15.84	15.88	20300
BLK	20200131	537.94	539.09	525.18	527.35	646400
BLL	20200131	72.72	73.16	71.86	72.18	1999200
BLW	20200131	16.58	16.63	16.33	16.38	242500
BLX	20200131	20.32	20.65	20.01	20.16	74600
BMA	20200131	31.12	31.33	30.19	30.67	173800
BME	20200131	41.87	41.87	41	41.12	31300
BMEZ	20200131	20.37	20.4	20.24	20.3242	449200
BMI	20200131	59.99	60.17	58.81	59.06	337000
BML-G	20200131	22.38	22.41	22.28	22.318	2600
BML-H	20200131	22.03	22.35	22.03	22.35	68900
BML-J	20200131	24.5983	25.175	24.47	25.05	70300
BML-L	20200131	24.57	24.78	24.5	24.73	126000
BMO	20200131	76.94	77	76.08	76.22	604000
BMY	20200131	63.63	63.69	62.51	62.95	12898000
BMY.P	20200131	3.58	3.58	3.4	3.48	3536600
BNED	20200131	3.39	3.59	3.36	3.44	421000
BNS	20200131	54.7	54.76	54.37	54.62	913400
BNY	20200131	14.55	14.59	14.525	14.525	9000
BOE	20200131	11.04	11.05	10.88	10.9	233600
BOH	20200131	90.91	91.05	89.49	89.6	186600
BOOT	20200131	43.52	43.575	41.67	41.97	834300
BORR	20200131	5.44	5.44	5.221	5.29	52200
BOX	20200131	15.13	15.19	14.76	15.03	1649900
BP	20200131	36.24	36.28	35.87	36.13	12518700
BPMP	20200131	14.53	14.72	14.37	14.43	337500
BPT	20200131	7.59	7.63	7.32	7.44	188600
BQH	20200131	15.61	15.7	15.59	15.61	28900
BR	20200131	120.49	121.43	115.39	119.15	2180900
BRBR	20200131	22.55	22.55	21.53	21.64	131900
BRC	20200131	56.48	56.48	55.26	55.37	323800
BRFS	20200131	7.17	7.18	7.04	7.11	2269600
BRK.A	20200131	339855	339855	335120	335996	200
BRK.B	20200131	226.49	226.97	223.43	224.43	3948500
BRMK	20200131	12.65	12.65	12.51	12.56	657600
BRO	20200131	45.17	45.44	44.74	44.9	2763000
BRP.U	20200131	10.76	10.82	10.76	10.82	29200
BRP.W	20200131	1.25	1.28	1.22	1.25	97700
BRPM	20200131	10.25	10.25	10.22	10.24	201100
BRT	20200131	17.07	17.38	16.9	17.23	73400
BRX	20200131	20.14	20.24	19.84	19.96	3635100
BSA	20200131	25.09	25.09	25.03	25.08	11500
BSAC	20200131	19.64	20.14	19.53	20.04	686000
BSBR	20200131	9.89	9.91	9.67	9.7	2391000
BSD	20200131	14.42	14.45	14.41	14.43	17500
BSE	20200131	14.13	14.17	14.1273	14.16	4300
BSIG	20200131	9.35	9.42	9.16	9.21	351500
BSL	20200131	16.36	16.36	16.21	16.22	37400
BSM	20200131	10.34	10.34	10	10.04	787400
BSMX	20200131	7.13	7.22	7.09	7.11	615600
BST	20200131	34.51	34.6408	34.15	34.26	120300
BSTZ	20200131	21.09	21.13	20.85	20.91	235300
BSX	20200131	43.29	43.3	41.785	41.87	12425000
BTA	20200131	12.95	12.96	12.94	12.95	26500
BTE	20200131	1.11	1.14	1.09	1.11	1848400
BTI	20200131	44.13	44.28	43.88	44.05	1403500
BTO	20200131	33.88	33.88	33.4	33.47	43600
BTT	20200131	24.54	24.5996	24.51	24.56	120900
BTU	20200131	6.85	6.85	6.45	6.76	1991700
BTZ	20200131	14.26	14.4	14.2499	14.38	339000
BUD	20200131	75.86	75.96	75.06	75.3	1050800
BUI	20200131	22.89	22.9	22.7	22.8	40000
